Jogador,Time,Posição,Preço (C$),Média (pts),Variação última (C$),Jogos
Gabriel Delfim,CAM,Goleiro,2.0,0.0,0.0,0
Pedro Cobra,CAM,Goleiro,1.0,0.0,0.0,0
Robert,CAM,Goleiro,1.0,0.0,0.0,0
Kauã Pascini,CAM,Lateral,3.99,3.24,0.0,5
Natanael,CAM,Lateral,8.48,4.85,0.0,13
Preciado,CAM,Lateral,7.43,4.31,-1.43,10
Renan Lodi,CAM,Lateral,11.31,5.3,1.79,20
Alan Franco,CAM,Meia,4.61,2.21,-0.27,17
Alexsander,CAM,Meia,4.85,0.84,0.0,5
Bernard,CAM,Meia,4.62,3.13,-0.98,19
Castaño,CAM,Meia,6.02,-0.6,-0.98,1
Cissé,CAM,Meia,2.34,1.71,0.05,12
Fred,CAM,Meia,9.0,0.0,0.0,0
Gustavo Scarpa,CAM,Meia,7.06,3.09,0.0,10
Gutte,CAM,Meia,1.0,0.0,0.0,0
Igor Gomes,CAM,Meia,5.13,1.96,0.55,8
Maycon,CAM,Meia,5.31,2.52,0.03,14
Patrick,CAM,Meia,4.0,0.0,0.0,0
Reinier,CAM,Meia,5.39,2.97,0.0,16
Tomás Pérez,CAM,Meia,4.13,1.54,0.0,12
Victor Hugo,CAM,Meia,6.44,3.63,-0.01,19
Índio,CAM,Meia,1.0,0.0,0.0,0
Eduardo Domínguez,CAM,Técnico,10.7,5.4,0.4,18
Lyanco,CAM,Zagueiro,7.8,3.04,0.0,9
Léo Duarte,CAM,Zagueiro,5.0,0.0,0.0,0
Ruan,CAM,Zagueiro,6.33,3.5,0.89,19
Vitor Hugo,CAM,Zagueiro,8.29,4.34,2.09,9
Vitão,CAM,Zagueiro,1.0,0.0,0.0,0
Isaac,CAP,Atacante,1.66,0.4,0.0,3
Jorge Rivaldo,CAP,Atacante,3.86,-0.15,-0.56,2
Leozinho,CAP,Atacante,5.74,5.37,-0.06,10
Mendoza,CAP,Atacante,8.22,4.3,0.73,21
Renan Peixoto,CAP,Atacante,2.73,0.9,0.0,7
Renan Viana,CAP,Atacante,2.0,0.0,0.0,0
Vargas,CAP,Atacante,8.98,4.65,1.75,2
Viveros,CAP,Atacante,12.88,8.7,-1.46,20
Carlos Eduardo,CAP,Goleiro,1.0,0.0,0.0,0
Matheus Soares,CAP,Goleiro,1.0,0.0,0.0,0
Mycael,CAP,Goleiro,7.46,7.6,0.0,1
Santos,CAP,Goleiro,8.38,4.25,-0.84,20
Arthur Monteiro,CAP,Lateral,1.0,0.0,0.0,0
Batata,CAP,Lateral,1.0,0.0,0.0,0
Benavídez,CAP,Lateral,7.36,4.77,-0.4,17
Claudinho,CAP,Lateral,7.84,7.52,0.0,6
Esquivel,CAP,Lateral,7.9,4.88,0.0,14
Gilberto,CAP,Lateral,7.82,4.84,-0.09,12
Gilberto Junior,CAP,Lateral,6.14,4.62,0.0,6
Léo Derik,CAP,Lateral,5.81,3.65,0.0,9
Vitinho,CAP,Lateral,1.0,0.0,0.0,0
Alejandro García,CAP,Meia,4.0,0.0,0.0,0
Dudu,CAP,Meia,2.27,1.66,0.17,14
Felipe Chiqueti,CAP,Meia,2.07,1.35,0.0,7
Felipinho,CAP,Meia,4.79,2.99,0.0,8
Jadson,CAP,Meia,6.22,3.48,1.29,16
João Cruz,CAP,Meia,5.31,3.25,-0.84,16
Luiz Gustavo,CAP,Meia,6.2,3.65,-0.51,15
Portilla,CAP,Meia,2.87,1.17,0.0,15
Riquelme,CAP,Meia,1.53,1.06,0.0,5
Zapelli,CAP,Meia,4.31,1.38,0.08,14
Élan Ricardo,CAP,Meia,3.0,0.0,0.0,0
Odair Hellmann,CAP,Técnico,9.02,5.88,-0.42,21
Aguirre,CAP,Zagueiro,5.52,3.68,-1.07,18
Arthur Dias,CAP,Zagueiro,5.67,3.61,-0.78,19
Dantas,CAP,Zagueiro,5.1,1.5,0.0,1
Léo,CAP,Zagueiro,6.77,4.9,0.0,2
Terán,CAP,Zagueiro,6.98,4.09,0.0,13
Breno Lopes,CFC,Atacante,9.43,5.38,0.24,20
David,CFC,Atacante,0.92,0.0,0.0,1
Fabinho,CFC,Atacante,1.43,-0.03,0.0,7
Keno,CFC,Atacante,3.09,0.61,-0.19,7
Lavega,CFC,Atacante,4.94,3.41,-1.16,21
Lucas Ronier,CFC,Atacante,10.77,6.7,0.0,18
Ocampo,CFC,Atacante,4.51,1.1,0.0,3
Paulo Roberto,CFC,Atacante,3.89,3.4,0.35,3
Pedro Rocha,CFC,Atacante,6.4,3.66,-1.45,22
Renato Marques,CFC,Atacante,2.73,0.74,0.0,7
Rodrigo Rodrigues,CFC,Atacante,3.28,-0.9,0.0,1
Ruan Assis,CFC,Atacante,1.0,0.0,0.0,0
Thiago Azaf,CFC,Atacante,1.0,0.0,0.0,0
Benassi,CFC,Goleiro,1.0,0.0,0.0,0
Keiller,CFC,Goleiro,4.0,0.0,0.0,0
Pedro Morisco,CFC,Goleiro,7.79,4.29,0.19,7
Pedro Rangel,CFC,Goleiro,7.48,4.67,0.0,17
Bruno Melo,CFC,Lateral,5.81,3.39,0.6,21
Felipe Jonatan,CFC,Lateral,4.54,2.38,0.0,15
JP Chermont,CFC,Lateral,4.8,2.72,0.29,13
João Almeida,CFC,Lateral,0.92,0.0,0.0,1
Lucas Taverna,CFC,Lateral,2.58,2.1,0.0,3
Tinga,CFC,Lateral,5.53,3.59,-0.85,16
Ararat,CFC,Meia,4.0,0.0,0.0,0
Fernando Sobral,CFC,Meia,3.94,1.0,-0.4,4
Gustavo,CFC,Meia,3.3,0.9,0.0,4
Josué,CFC,Meia,6.56,4.24,0.0,21
Matheus Dias,CFC,Meia,1.0,0.0,0.0,0
Sebastián Gómez,CFC,Meia,3.73,2.34,-0.32,19
Vini Paulista,CFC,Meia,3.71,2.28,-0.17,22
Vitor Tissi,CFC,Meia,1.65,1.3,0.64,3
Fernando Seabra,CFC,Técnico,7.79,5.08,-0.25,23
Jacy,CFC,Zagueiro,6.39,4.19,1.03,20
Maicon,CFC,Zagueiro,3.86,1.93,0.0,14
Rodrigo Moledo,CFC,Zagueiro,6.53,5.57,0.0,3
Thiago Santos,CFC,Zagueiro,4.55,3.2,0.19,16
Tiago Cóser,CFC,Zagueiro,4.78,3.02,0.39,20
Bolasie,CHA,Atacante,4.49,2.21,0.0,16
Franco Rossi,CHA,Atacante,3.69,2.25,0.52,2
Garcez,CHA,Atacante,3.12,1.22,0.0,8
Kevin Ramírez,CHA,Atacante,4.21,3.18,-0.62,5
Kássio,CHA,Atacante,1.49,1.5,0.0,1
Marcinho,CHA,Atacante,5.36,3.49,0.99,20
Neto Pessoa,CHA,Atacante,4.74,3.49,0.0,9
Rodrigo,CHA,Atacante,1.0,0.0,0.0,0
Rubens,CHA,Atacante,2.48,1.38,0.0,9
Túlio Eduardo,CHA,Atacante,7.38,8.2,1.03,2
Ênio,CHA,Atacante,5.04,2.93,0.0,12
Anderson,CHA,Goleiro,5.26,2.83,-0.1,8
Kainã,CHA,Goleiro,1.0,0.0,0.0,0
Matheus Aurélio,CHA,Goleiro,2.61,1.7,0.0,2
Rafael Santos,CHA,Goleiro,4.94,3.75,0.0,4
Wellington,CHA,Goleiro,1.0,0.0,0.0,0
Bruno Pacheco,CHA,Lateral,5.97,3.59,-0.08,13
Bruno Tubarão,CHA,Lateral,3.17,1.1,0.0,1
Everton,CHA,Lateral,3.41,1.77,-0.11,17
Fernando,CHA,Lateral,5.37,4.03,0.99,3
Gustavo Talles,CHA,Lateral,2.0,0.0,0.0,0
Heitor,CHA,Lateral,4.91,3.5,0.91,1
Mancha,CHA,Lateral,3.0,0.0,0.0,0
Borrero,CHA,Meia,4.0,0.0,0.0,0
Bruno Matias,CHA,Meia,2.63,1.12,-0.58,4
Camilo,CHA,Meia,5.09,3.07,0.37,18
Da Silva,CHA,Meia,3.0,0.0,0.0,0
David,CHA,Meia,1.14,0.83,-0.26,7
Giovanni Augusto,CHA,Meia,7.19,3.4,3.38,14
Juan Ferreira,CHA,Meia,1.0,0.0,0.0,0
Max,CHA,Meia,4.39,1.85,0.0,2
Miguel Carvalho,CHA,Meia,4.0,0.0,0.0,0
Rafael Carvalheira,CHA,Meia,5.7,2.72,0.0,14
Robert,CHA,Meia,3.51,3.0,0.0,1
Vinícius Balieiro,CHA,Meia,3.62,1.84,0.0,5
Yago Felipe,CHA,Meia,7.94,9.1,2.94,1
